breach_date	data_class	total_number_of_affected_accounts
2015-06-01	Names	1370175
2015-06-01	Passwords	1370175
2015-06-01	Payment histories	1370175
2015-06-01	Phone numbers	1370175
2015-06-01	Physical addresses	1370175
2015-06-01	Usernames	1370175
2015-06-01	Website activity	1370175
2018-06-07	Email addresses	655161
2018-06-07	Passwords	655161
2016-09-07	Dates of birth	81830
2016-09-07	Deceased date	81830
2016-09-07	Email addresses	81830
2016-09-07	Genders	81830
2016-09-07	Government issued IDs	81830
2016-09-07	Names	81830
2016-09-07	Passport numbers	81830
2016-09-07	Passwords	81830
2016-09-07	Phone numbers	81830
2016-09-07	Physical addresses	81830
2016-09-07	Utility bills	81830
2019-08-11	Dates of birth	226095
2019-08-11	Email addresses	226095
2019-08-11	Geographic locations	226095
2019-08-11	Job applications	226095
2019-08-11	Names	226095
2019-08-11	Passwords	226095
2019-08-11	Phone numbers	226095
2019-08-11	Spoken languages	226095
2015-05-07	Dates of birth	435510
2015-05-07	Email addresses	435510
2015-05-07	Passwords	435510
2015-05-07	Usernames	435510
2019-03-23	Email addresses	871190
2019-03-23	IP addresses	871190
2019-03-23	Usernames	871190
2013-08-11	Dates of birth	100985047
2013-08-11	Email addresses	100985047
2013-08-11	Genders	100985047
2013-08-11	Names	100985047
2013-08-11	Passwords	100985047
2013-08-11	Phone numbers	100985047
2013-08-11	Physical addresses	100985047
2016-06-01	Email addresses	34167024
2016-06-01	IP addresses	30707726
2016-06-01	Passwords	31484374
2016-06-01	Usernames	31484374
2016-06-01	Dates of birth	1311610
2016-06-01	Genders	2682650
2016-06-01	Names	2682650
2016-06-01	Social connections	2682650
2016-06-01	Website activity	2682650
2018-06-01	Credit status information	131577763
2018-06-01	Dates of birth	131577763
2018-06-01	Education levels	131577763
2018-06-01	Email addresses	170664525
2018-06-01	Ethnicities	131577763
2018-06-01	Family structure	131577763
2018-06-01	Financial investments	131577763
2018-06-01	Genders	131577763
2018-06-01	Home ownership statuses	131577763
2018-06-01	Income levels	131577763
2018-06-01	IP addresses	151109583
2018-06-01	Marital statuses	131577763
2018-06-01	Names	151109583
2018-06-01	Net worths	131577763
2018-06-01	Occupations	131577763
2018-06-01	Personal interests	131577763
2018-06-01	Phone numbers	151109583
2018-06-01	Physical addresses	151109583
2018-06-01	Religions	131577763
2018-06-01	Spoken languages	131577763
2018-06-01	Geographic locations	19531820
2018-06-01	Passwords	58618582
2015-09-16	Credit status information	7196890
2015-09-16	Dates of birth	7196890
2015-09-16	Email addresses	7196890
2015-09-16	Ethnicities	7196890
2015-09-16	Family structure	7196890
2015-09-16	Genders	7196890
2015-09-16	Home ownership statuses	7196890
2015-09-16	Income levels	7196890
2015-09-16	IP addresses	7196890
2015-09-16	Names	7196890
2015-09-16	Phone numbers	7196890
2015-09-16	Physical addresses	7196890
2015-09-16	Purchasing habits	7196890
2020-08-19	Email addresses	1450668
2020-08-19	Employers	1284637
2020-08-19	Government issued IDs	1284637
2020-08-19	Names	1284637
2020-08-19	Occupations	1284637
2020-08-19	Phone numbers	1284637
2020-08-19	Passwords	166031
2016-10-13	Email addresses	593427119
2016-10-13	Passwords	593427119
2017-06-05	Dates of birth	396650
2017-06-05	Email addresses	396650
2017-06-05	Family structure	396650
2017-06-05	Genders	396650
2017-06-05	Names	396650
2017-06-05	Phone numbers	396650
2017-06-05	Physical addresses	396650
2017-06-05	Vehicle details	396650
2018-02-28	Bios	19611022
2018-02-28	Email addresses	19611022
2018-02-28	Names	19611022
2018-02-28	Passwords	19611022
2018-02-28	Usernames	19611022
2019-08-01	Dates of birth	509458528
2019-08-01	Email addresses	509458528
2019-08-01	Employers	509458528
2019-08-01	Genders	509458528
2019-08-01	Geographic locations	509458528
2019-08-01	Names	509458528
2019-08-01	Phone numbers	509458528
2019-08-01	Relationship statuses	509458528
2016-06-03	Dates of birth	342913
2016-06-03	Email addresses	342913
2016-06-03	IP addresses	342913
2016-06-03	Passwords	342913
2016-06-03	Usernames	342913
2013-01-01	Dates of birth	87633
2013-01-01	Email addresses	77536974
2013-01-01	Genders	87633
2013-01-01	Names	87633
2013-01-01	Passwords	77536974
2013-01-01	Phone numbers	77536974
2013-01-01	Usernames	77536974
2017-03-22	Email addresses	2461696
2017-03-22	Employers	2461696
2017-03-22	Phone numbers	2461696
2017-03-22	Physical addresses	2461696
2021-10-02	Email addresses	66479
2021-10-02	IP addresses	66479
2021-10-02	Names	66479
2021-10-02	Passwords	66479
2021-10-02	Purchases	66479
2021-10-02	Usernames	66479
2018-07-09	Browser user agent details	1279263
2018-07-09	Dates of birth	42239762
2018-07-09	Email addresses	42239762
2018-07-09	Genders	1279263
2018-07-09	IP addresses	1279263
2018-07-09	Names	42239762
2018-07-09	Passwords	42239762
2018-07-09	Phone numbers	1279263
2018-07-09	Physical addresses	1279263
2018-07-09	Purchases	1279263
2016-12-01	Email addresses	95364238
2016-12-01	Passwords	95364238
2016-12-01	Dates of birth	1116256
2016-12-01	Usernames	1116256
2020-01-01	Email addresses	1767270
2020-01-01	Passwords	645786
2020-01-01	Usernames	645786
2015-09-18	Email addresses	620677
2015-09-18	Passwords	620677
2015-09-18	Usernames	620677
2015-09-18	Website activity	620677
2016-02-01	Email addresses	1771845
2016-02-01	Passwords	1771845
2016-02-01	Usernames	1771845
2019-07-16	Dates of birth	1858124
2019-07-16	Email addresses	1858124
2019-07-16	IP addresses	1858124
2019-07-16	Passwords	1858124
2019-07-16	Usernames	1858124
2015-02-11	Email addresses	40256
2015-02-11	Government issued IDs	40256
2015-02-11	Physical addresses	40256
2011-03-10	Dates of birth	40767652
2011-03-10	Email addresses	40767652
2011-03-10	Genders	40767652
2011-03-10	Geographic locations	40767652
2011-03-10	IP addresses	40767652
2011-03-10	Passwords	40767652
2011-03-10	Phone numbers	40767652
2011-03-10	Sexual fetishes	40767652
2011-03-10	Sexual orientations	40767652
2011-03-10	Usernames	40767652
2011-03-10	Website activity	40767652
2018-02-12	Dates of birth	542902
2018-02-12	Email addresses	542902
2018-02-12	Names	542902
2018-02-12	Passwords	542902
2018-02-12	School grades (class levels)	542902
2018-02-12	Usernames	542902
2016-04-22	Email addresses	582578
2016-04-22	Names	582578
2016-04-22	Passwords	582578
2016-04-22	Phone numbers	582578
2016-04-22	Physical addresses	582578
2014-02-15	Email addresses	1057819
2014-02-15	Passwords	1057819
2014-02-15	User website URLs	1057819
2014-02-15	Usernames	1057819
2008-04-04	Account balances	252216
2008-04-04	Browser user agent details	252216
2008-04-04	Dates of birth	252216
2008-04-04	Email addresses	252216
2008-04-04	Genders	252216
2008-04-04	Names	252216
2008-04-04	Passwords	252216
2008-04-04	Phone numbers	252216
2008-04-04	Physical addresses	252216
2008-04-04	Usernames	252216
2008-04-04	Website activity	252216
2017-01-31	Email addresses	380830
2017-01-31	Passwords	380830
2017-01-31	Usernames	380830
2014-05-02	Email addresses	35368
2014-05-02	Passwords	35368
2014-05-02	Usernames	35368
2014-05-02	Website activity	35368
2016-05-17	Email addresses	1270564
2016-05-17	Passwords	1270564
2016-05-17	Usernames	1270564
2015-05-14	Email addresses	4261179
2015-05-14	Genders	4261179
2015-05-14	Geographic locations	4261179
2015-05-14	IP addresses	4261179
2015-05-14	Names	4261179
2015-05-14	Passwords	4261179
2015-05-14	Phone numbers	4261179
2015-05-14	Usernames	4261179
2015-05-14	Device usage tracking data	699793
2021-02-26	Avatars	66521
2021-02-26	Email addresses	66521
2021-02-26	Names	66521
2021-02-26	Passwords	66521
2021-02-26	Private messages	66521
2021-02-26	Usernames	66521
2015-10-23	Email addresses	1217166
2015-10-23	IP addresses	1217166
2015-10-23	Passwords	1217166
2015-10-23	Usernames	1217166
2019-02-24	Email addresses	1506242
2019-02-24	IP addresses	1506242
2019-02-24	Passwords	1506242
2019-02-24	Usernames	1506242
2012-03-01	Email addresses	8243604
2012-03-01	Passwords	8243604
2019-06-04	Email addresses	1408078
2019-06-04	Encrypted keys	1408078
2019-06-04	Mnemonic phrases	1408078
2019-06-04	Passwords	1408078
2010-12-11	Email addresses	1247574
2010-12-11	Passwords	1247574
2010-12-11	Usernames	1247574
2017-05-04	Email addresses	2481121
2017-05-04	Names	2481121
2017-05-04	Passwords	2481121
2017-05-04	Social media profiles	2481121
2016-08-15	Email addresses	1073164
2016-08-15	Geographic locations	1073164
2016-08-15	Names	1073164
2016-08-15	Professional skills	1073164
2016-08-15	Usernames	1073164
2016-08-15	Years of professional experience	1073164
2020-10-02	Email addresses	1301460
2020-10-02	Genders	1301460
2020-10-02	IP addresses	1301460
2020-10-02	Names	1301460
2020-10-02	Passwords	1301460
2020-10-02	Social media profiles	1301460
2016-10-10	Email addresses	22526334
2016-10-10	IP addresses	22526334
2016-10-10	Passwords	22526334
2016-10-10	Usernames	22526334
2020-03-27	Dates of birth	2330735
2020-03-27	Email addresses	3629386
2020-03-27	Genders	2330735
2020-03-27	Names	3629386
2020-03-27	Passwords	2330735
2020-03-27	Phone numbers	3629386
2020-03-27	Usernames	1298651
2015-10-24	Email addresses	3430083
2015-10-24	IP addresses	3430083
2015-10-24	Passwords	3430083
2015-10-24	Usernames	3430083
2018-10-21	Bank account numbers	242715
2018-10-21	Email addresses	242715
2018-10-21	IP addresses	242715
2018-10-21	Names	242715
2018-10-21	Partial credit card data	242715
2018-10-21	Passport numbers	242715
2018-10-21	Phone numbers	242715
2018-10-21	Physical addresses	242715
2018-10-21	Purchases	242715
2018-10-21	Security questions and answers	242715
2018-10-21	Social security numbers	242715
2007-07-12	Dates of birth	2136520
2007-07-12	Email addresses	2136520
2007-07-12	Genders	2136520
2007-07-12	IP addresses	2136520
2007-07-12	Names	2136520
2007-07-12	Passwords	2136520
2007-07-12	Physical addresses	2136520
2007-07-12	Security questions and answers	2136520
2007-07-12	Usernames	2136520
2007-07-12	Website activity	2136520
2016-08-01	Dates of birth	197184
2016-08-01	Email addresses	197184
2016-08-01	IP addresses	197184
2016-08-01	Passwords	197184
2016-08-01	Usernames	197184
2016-08-01	Website activity	197184
2016-04-01	Email addresses	143569
2016-04-01	IP addresses	143569
2016-04-01	Passwords	143569
2016-04-01	Usernames	143569
2021-07-17	Browser user agent details	112031
2021-07-17	Email addresses	112031
2021-07-17	Geographic locations	112031
2021-07-17	IP addresses	112031
2021-07-17	Names	112031
2021-07-17	Passwords	112031
2021-07-17	Phone numbers	112031
2021-07-17	Physical addresses	112031
2021-07-17	Salutations	112031
2011-06-25	Dates of birth	191540
2011-06-25	Email addresses	191540
2011-06-25	Instant messenger identities	191540
2011-06-25	IP addresses	191540
2011-06-25	Passwords	191540
2011-06-25	Social connections	191540
2011-06-25	Spoken languages	191540
2011-06-25	Time zones	191540
2011-06-25	User website URLs	191540
2011-06-25	Usernames	191540
2011-06-25	Website activity	191540
2015-07-06	Email addresses	285061
2015-07-06	Email messages	32310
2015-07-06	IP addresses	252751
2015-07-06	Passwords	252751
2015-07-06	Usernames	252751
2018-08-07	Dates of birth	28510459
2018-08-07	Email addresses	28510459
2018-08-07	Genders	28510459
2018-08-07	Geographic locations	28510459
2018-08-07	Names	28510459
2018-08-07	Passwords	28510459
2020-06-25	Email addresses	2444421
2020-06-25	Geographic locations	1369180
2020-06-25	Names	2444421
2020-06-25	Passwords	1369180
2020-06-25	Phone numbers	2444421
2020-06-25	Physical addresses	1075241
2015-07-08	Email addresses	47297
2015-07-08	Names	47297
2015-07-08	Passwords	47297
2015-07-08	Phone numbers	47297
2015-07-08	Physical addresses	47297
2011-12-21	Email addresses	5053549
2011-12-21	Genders	28641
2011-12-21	Nicknames	28641
2011-12-21	Partial dates of birth	28641
2011-12-21	Passwords	5053549
2011-12-21	Usernames	28641
2013-01-04	Browser user agent details	179967
2013-01-04	Email addresses	179967
2013-01-04	IP addresses	179967
2013-01-04	Usernames	179967
2013-01-04	Website activity	179967
2012-12-17	Email addresses	8089103
2012-12-17	Passwords	8089103
2012-12-17	Usernames	8089103
2014-01-01	Email addresses	21526813
2014-01-01	Passwords	21526813
2014-01-01	Usernames	19095703
2014-01-01	Geographic locations	4609615
2014-01-01	Phone numbers	4609615
2014-01-01	IP addresses	612414
2016-06-19	Email addresses	611070
2016-06-19	Names	611070
2016-06-19	Passwords	611070
2016-06-19	Usernames	611070
2016-06-19	Website activity	611070
2020-02-10	Email addresses	8815692
2020-02-10	Geographic locations	8815692
2020-02-10	IP addresses	8815692
2020-02-10	Names	8815692
2020-02-10	Partial credit card data	8815692
2020-02-10	Passwords	8815692
2020-02-10	Phone numbers	8815692
2019-10-10	Email addresses	2483812
2019-10-10	IP addresses	290955
2019-10-10	Passwords	2483812
2019-10-10	Usernames	2483812
2019-10-10	Dates of birth	2192857
2019-10-10	Genders	2192857
2019-10-10	Names	2192857
2019-10-10	Physical addresses	2192857
2017-12-30	Email addresses	45701
2017-12-30	IP addresses	45701
2017-12-30	Passwords	45701
2017-12-30	Website activity	45701
2018-05-23	Email addresses	48881308
2018-05-23	Geographic locations	48881308
2018-05-23	IP addresses	48881308
2018-05-23	Names	48881308
2018-05-23	Passwords	48881308
2018-05-23	Social media profiles	48881308
2018-05-23	Usernames	48881308
2020-01-04	Dates of birth	1488089
2020-01-04	Email addresses	1488089
2020-01-04	Historical passwords	1488089
2020-01-04	IP addresses	1488089
2020-01-04	Passwords	1488089
2020-01-04	Usernames	1488089
2018-08-24	Browser user agent details	411755
2018-08-24	Dates of birth	411755
2018-08-24	Email addresses	411755
2018-08-24	IP addresses	411755
2018-08-24	Names	411755
2018-08-24	Phone numbers	411755
2018-08-24	Physical addresses	411755
2018-08-24	Purchases	411755
2018-08-24	Usernames	411755
2019-03-14	Dates of birth	20727771
2019-03-14	Email addresses	20727771
2019-03-14	IP addresses	20727771
2019-03-14	Names	20727771
2019-03-14	Passwords	20727771
2019-03-14	Phone numbers	20727771
2019-03-14	Social media profiles	20727771
2016-07-15	Email addresses	2191565
2016-07-15	Passwords	2191565
2018-12-31	Dates of birth	4216063
2018-12-31	Email addresses	4216063
2018-12-31	Geographic locations	4216063
2018-12-31	IP addresses	4216063
2018-12-31	Job applications	4216063
2018-12-31	Job titles	4216063
2018-12-31	Names	4216063
2018-12-31	Passwords	4216063
2018-12-31	Phone numbers	4216063
2014-10-18	Email addresses	188847
2014-10-18	IP addresses	188847
2014-10-18	Passwords	188847
2014-10-18	Usernames	188847
2021-08-20	Email addresses	878209
2021-08-20	Genders	878209
2021-08-20	Names	878209
2021-08-20	Partial credit card data	878209
2021-08-20	Passwords	878209
2021-08-20	Phone numbers	878209
2021-08-20	Physical addresses	878209
2021-08-20	Purchases	878209
2021-08-20	Usernames	878209
2013-09-22	Email addresses	49467477
2013-09-22	IP addresses	49467477
2013-09-22	Passwords	49467477
2013-09-22	Usernames	49467477
2013-09-01	Email addresses	6783803
2013-09-01	Passwords	6783803
2013-09-01	Dates of birth	5033997
2013-09-01	Names	5033997
2013-09-01	Phone numbers	5033997
2013-09-01	Physical addresses	5033997
2013-09-01	PINs	5033997
2021-05-23	Email addresses	20154583
2021-05-23	Names	20154583
2021-05-23	Phone numbers	20154583
2021-05-23	Physical addresses	20154583
2019-10-28	Email addresses	583377
2019-10-28	Passwords	583377
2019-10-28	Usernames	583377
2014-07-22	Email addresses	104097
2014-07-22	Passwords	104097
2014-07-22	Usernames	104097
2014-07-22	Website activity	104097
2019-03-10	Email addresses	3073409
2019-03-10	Passwords	3073409
2015-11-04	Dates of birth	3439414
2015-11-04	Email addresses	9408197
2015-11-04	Geographic locations	3439414
2015-11-04	Names	3439414
2015-11-04	Passwords	9408197
2015-11-04	Usernames	9408197
2015-11-04	IP addresses	5968783
2015-11-04	Website activity	5968783
2019-01-03	Auth tokens	17204697
2019-01-03	Device information	17204697
2019-01-03	Email addresses	17204697
2019-01-03	Genders	17204697
2019-01-03	Names	17204697
2019-01-03	Passwords	17204697
2019-01-03	Phone numbers	17204697
2019-01-03	Salutations	17204697
2019-01-03	Social media profiles	17204697
2019-01-03	Usernames	17204697
2020-03-25	Email addresses	1541284
2020-03-25	Geographic locations	1541284
2020-03-25	Passwords	1541284
2020-08-11	Email addresses	9052457
2020-08-11	IP addresses	9052457
2020-08-11	Passwords	9052457
2020-08-11	Usernames	9052457
2018-02-01	Email addresses	154587354
2018-02-01	IP addresses	154587354
2018-02-01	Names	10981207
2018-02-01	Passwords	154587354
2018-02-01	Usernames	143606147
2012-03-07	Dates of birth	3883455
2012-03-07	Email addresses	3883455
2012-03-07	Genders	3883455
2012-03-07	Geographic locations	3883455
2012-03-07	Government issued IDs	3883455
2012-03-07	Marital statuses	3883455
2012-03-07	Names	3883455
2012-03-07	Nationalities	3883455
2012-03-07	Passwords	3883455
2012-03-07	Phone numbers	3883455
2012-03-07	Physical addresses	3883455
2012-03-07	Usernames	3883455
2018-01-30	Email addresses	2179398
2018-01-30	Names	2179398
2018-01-30	Passwords	2179398
2018-01-30	Payment histories	22477
2018-01-30	Usernames	22477
2018-01-30	Dates of birth	2156921
2018-01-30	Device information	2156921
2018-01-30	Genders	2156921
2018-01-30	IP addresses	2156921
2016-09-29	Dates of birth	24451312
2016-09-29	Email addresses	24451312
2016-09-29	Geographic locations	24451312
2016-09-29	Names	24451312
2018-09-11	Email addresses	41826763
2018-09-11	Passwords	41826763
2014-02-16	Email addresses	5176463
2014-02-16	Passwords	5176463
2015-05-01	Email addresses	957464
2015-05-01	IP addresses	957464
2015-05-01	Passwords	957464
2015-05-01	Usernames	957464
2019-09-10	Avatars	4606
2019-09-10	Dates of birth	4606
2019-09-10	Email addresses	4606
2019-09-10	IP addresses	4606
2019-09-10	Website activity	4606
2016-02-29	Dates of birth	30405271
2016-02-29	Email addresses	30405271
2016-02-29	Genders	30405271
2016-02-29	Geographic locations	28869798
2016-02-29	Recovery email addresses	1476783
2016-02-29	Security questions and answers	1476783
2016-02-29	Usernames	30405271
2016-02-29	Astrological signs	27393015
2016-02-29	Drinking habits	27393015
2016-02-29	Drug habits	27393015
2016-02-29	Education levels	27393015
2016-02-29	Ethnicities	27393015
2016-02-29	Fitness levels	27393015
2016-02-29	Income levels	27393015
2016-02-29	Job titles	27393015
2016-02-29	Names	28928488
2016-02-29	Parenting plans	27393015
2016-02-29	Passwords	27393015
2016-02-29	Personal descriptions	27393015
2016-02-29	Physical attributes	27393015
2016-02-29	Political views	27393015
2016-02-29	Relationship statuses	27393015
2016-02-29	Religions	27393015
2016-02-29	Sexual fetishes	27393015
2016-02-29	Travel habits	27393015
2016-02-29	Website activity	28928488
2016-02-29	Work habits	27393015
2016-02-29	Avatars	1535473
2016-02-29	Spoken languages	1535473
2016-04-12	Email addresses	1957600
2016-04-12	Email messages	1957600
2016-04-12	Genders	1957600
2016-04-12	Names	1957600
2016-04-12	Passwords	1957600
2016-04-12	Phone numbers	1957600
2016-04-12	Physical addresses	1957600
2018-09-05	Email addresses	808330
2018-09-05	Geographic locations	808330
2018-09-05	Names	808330
2018-09-05	Passwords	808330
2018-09-05	Usernames	808330
2020-06-23	Dates of birth	768890
2020-06-23	Email addresses	4964808
2020-06-23	Employers	768890
2020-06-23	Family structure	768890
2020-06-23	Genders	768890
2020-06-23	Income levels	768890
2020-06-23	Living costs	768890
2020-06-23	Marital statuses	768890
2020-06-23	Mothers maiden names	768890
2020-06-23	Names	4964808
2020-06-23	Phone numbers	4964808
2020-06-23	Physical addresses	768890
2020-06-23	Places of birth	768890
2020-06-23	Religions	768890
2020-06-23	Spouses names	768890
2020-06-23	Partial credit card data	4195918
2020-06-23	Passwords	4195918
2020-06-23	Profile photos	4195918
2018-07-28	Email addresses	45120
2018-07-28	Names	45120
2018-07-28	Passwords	45120
2018-07-28	Physical addresses	45120
2018-07-28	Usernames	45120
2012-03-22	Email addresses	37217682
2012-03-22	Passwords	37217682
2012-03-22	Usernames	37217682
2012-03-22	Website activity	37217682
2020-07-30	Email addresses	1107789
2020-07-30	Names	1107789
2020-07-30	Partial credit card data	1107789
2020-07-30	Passwords	1107789
2020-07-30	Phone numbers	1107789
2020-07-30	Physical addresses	1107789
2020-03-04	Email addresses	68693853
2020-03-04	Genders	68693853
2020-03-04	IP addresses	68693853
2020-03-04	Names	68693853
2020-03-04	Phone numbers	68693853
2020-03-04	Physical addresses	68693853
2012-06-11	Email addresses	339487
2012-06-11	Passwords	339487
2012-06-11	Usernames	339487
2016-09-10	Email addresses	5081689
2016-09-10	IP addresses	5081689
2016-09-10	Passwords	5081689
2016-09-10	Usernames	5081689
2016-09-10	Website activity	5081689
2019-02-28	Email addresses	3670561
2019-02-28	Passwords	3670561
2019-02-28	Usernames	3670561
2018-06-25	Dates of birth	30484
2018-06-25	Email addresses	30484
2018-06-25	Geographic locations	30484
2018-06-25	IP addresses	30484
2018-06-25	Passwords	30484
2018-06-25	Private messages	30484
2018-06-25	Usernames	30484
2021-03-08	Auth tokens	465141
2021-03-08	Dates of birth	465141
2021-03-08	Education levels	465141
2021-03-08	Email addresses	476929
2021-03-08	Geographic locations	465141
2021-03-08	IP addresses	476929
2021-03-08	Names	476929
2021-03-08	Passwords	465141
2021-03-08	Phone numbers	465141
2021-03-08	Private messages	465141
2021-03-08	Security questions and answers	465141
2021-03-08	Social media profiles	465141
2021-03-08	Usernames	465141
2021-03-08	Browser user agent details	11788
2021-03-08	Employers	11788
2021-03-08	Partial credit card data	11788
2021-03-08	Physical addresses	11788
2021-03-08	Purchases	11788
2012-05-05	Email addresses	164611595
2012-05-05	Passwords	164611595
2021-04-08	Education levels	125698496
2021-04-08	Email addresses	130921846
2021-04-08	Genders	130921846
2021-04-08	Geographic locations	125698496
2021-04-08	Job titles	125698496
2021-04-08	Names	130921846
2021-04-08	Social media profiles	125698496
2021-04-08	Dates of birth	5223350
2021-04-08	Nationalities	5223350
2021-04-08	Phone numbers	5223350
2021-04-08	Physical addresses	5223350
2016-02-21	Avatars	144989
2016-02-21	Dates of birth	144989
2016-02-21	Email addresses	144989
2016-02-21	Geographic locations	144989
2016-02-21	IP addresses	144989
2016-02-21	Passwords	144989
2016-02-21	Time zones	144989
2016-02-21	Website activity	144989
2020-08-29	Email addresses	269552
2020-08-29	Names	269552
2020-08-29	Phone numbers	269552
2020-08-29	Physical addresses	269552
2020-08-29	Purchases	269552
2020-08-29	Salutations	269552
2015-01-16	Email addresses	13451
2015-01-16	Passwords	13451
2015-01-16	Usernames	13451
2012-08-24	Dates of birth	1074948
2012-08-24	Email addresses	1074948
2012-08-24	IP addresses	1074948
2012-08-24	Names	1074948
2012-08-24	Passwords	1074948
2012-08-24	Usernames	1074948
2012-08-24	Website activity	1074948
2013-08-01	Dates of birth	1141278
2013-08-01	Email addresses	2066627
2013-08-01	IP addresses	2066627
2013-08-01	Passwords	2066627
2013-08-01	Usernames	2066627
2013-08-01	Website activity	1186296
2013-08-01	Names	45018
2013-08-01	Private messages	45018
2019-04-01	Auth tokens	15453048
2019-04-01	Email addresses	15453048
2019-04-01	Genders	15453048
2019-04-01	Names	15453048
2019-04-01	Passwords	15453048
2019-04-01	Spoken languages	15453048
2019-04-01	Usernames	15453048
2017-12-21	Email addresses	109202
2017-12-21	Passwords	109202
2017-12-21	Usernames	109202
2016-07-03	Dates of birth	326714
2016-07-03	Email addresses	326714
2016-07-03	IP addresses	326714
2016-07-03	Passwords	326714
2016-07-03	Usernames	326714
2015-10-31	Email addresses	93992
2015-10-31	Passwords	93992
2015-10-31	Usernames	93992
2014-09-10	Email addresses	16630988
2014-09-10	Passwords	16630988
2015-11-15	Email addresses	269548
2015-11-15	IP addresses	269548
2015-11-15	Passwords	269548
2015-11-15	Usernames	269548
2017-07-27	Email addresses	735405
2017-07-27	Names	735405
2017-07-27	Passwords	735405
2017-07-27	Phone numbers	735405
2014-11-15	Dates of birth	111623
2014-11-15	Email addresses	111623
2014-11-15	IP addresses	111623
2014-11-15	Passwords	111623
2014-11-15	Usernames	111623
2014-11-15	Website activity	111623
2014-06-09	Email addresses	855249
2014-06-09	Passwords	855249
2021-03-22	Email addresses	2987329
2021-03-22	IP addresses	2987329
2021-03-22	Passwords	2987329
2021-03-22	Usernames	2987329
2018-12-11	Email addresses	205242
2018-12-11	Geographic locations	205242
2018-12-11	Passwords	205242
2018-12-11	Usernames	205242
2020-06-01	Auth tokens	1414677
2020-06-01	Email addresses	1414677
2020-06-01	Genders	1414677
2020-06-01	Geographic locations	1414677
2020-06-01	IP addresses	1414677
2020-06-01	Names	1414677
2020-06-01	Partial dates of birth	1414677
2020-06-01	Social media profiles	1414677
2017-03-14	Dates of birth	2257930
2017-03-14	Deceased statuses	2257930
2017-03-14	Email addresses	2257930
2017-03-14	Employers	2257930
2017-03-14	Ethnicities	2257930
2017-03-14	Genders	2257930
2017-03-14	Government issued IDs	2257930
2017-03-14	Home ownership statuses	2257930
2017-03-14	Job titles	2257930
2017-03-14	Names	2257930
2017-03-14	Nationalities	2257930
2017-03-14	Phone numbers	2257930
2017-03-14	Physical addresses	2257930
2019-08-20	Email addresses	89388
2019-08-20	IP addresses	89388
2019-08-20	Names	89388
2019-08-20	Partial credit card data	89388
2019-08-20	Phone numbers	89388
2019-08-20	Salutations	89388
2020-01-13	Device information	25692862
2020-01-13	Email addresses	25692862
2020-01-13	Names	25692862
2020-01-13	Passwords	25692862
2020-01-13	Social media profiles	25692862
2016-10-27	Email addresses	119948
2016-10-27	IP addresses	119948
2016-10-27	Passwords	119948
2016-10-27	Usernames	119948
2016-10-27	Website activity	119948
2016-08-30	Email addresses	845012
2016-08-30	Email messages	845012
2016-08-30	IP addresses	845012
2016-08-30	Names	845012
2020-01-26	Dates of birth	1422717
2020-01-26	Drinking habits	1422717
2020-01-26	Drug habits	1422717
2020-01-26	Email addresses	2200486
2020-01-26	Genders	1422717
2020-01-26	Geographic locations	1422717
2020-01-26	IP addresses	1422717
2020-01-26	Marital statuses	1422717
2020-01-26	Names	2200486
2020-01-26	Passwords	2200486
2020-01-26	Physical attributes	1422717
2020-01-26	Religions	1422717
2020-01-26	Sexual orientations	1422717
2020-01-26	Smoking habits	1422717
2020-01-26	Social media profiles	2200486
2020-01-26	Usernames	1422717
2020-01-26	Bios	777769
2020-01-26	Phone numbers	777769
2019-07-25	Dates of birth	3081321
2019-07-25	Email addresses	3081321
2019-07-25	Names	3081321
2019-07-25	Phone numbers	3081321
2019-07-25	Physical addresses	3081321
2019-03-18	Dates of birth	28364826
2019-03-18	Email addresses	28364826
2019-03-18	Names	28364826
2015-05-24	Email addresses	16034
2015-05-24	IP addresses	16034
2015-05-24	Passwords	16034
2015-05-24	Usernames	16034
2016-01-15	Email addresses	71081
2016-01-15	IP addresses	71081
2016-01-15	Passwords	71081
2016-01-15	Usernames	71081
2015-06-28	Dates of birth	188343
2015-06-28	Email addresses	188343
2015-06-28	IP addresses	188343
2015-06-28	Passwords	188343
2015-06-28	Usernames	188343
2015-06-28	Website activity	188343
2019-05-17	Email addresses	396533
2019-05-17	Passwords	396533
2020-05-06	Email addresses	4418182
2020-05-06	Names	4418182
2020-05-06	Passwords	4418182
2020-05-06	Phone numbers	4418182
2020-05-06	Physical addresses	4418182
2020-12-20	Appointments	2660295
2020-12-20	Dates of birth	2660295
2020-12-20	Email addresses	2660295
2020-12-20	Genders	2660295
2020-12-20	Marital statuses	2660295
2020-12-20	Names	2660295
2020-12-20	Passwords	2660295
2020-12-20	Phone numbers	2660295
2020-12-20	Physical addresses	2660295
2020-01-06	Dates of birth	3512952
2020-01-06	Email addresses	3512952
2020-01-06	Genders	3512952
2020-01-06	Passwords	3512952
2020-01-06	Usernames	3512952
2016-10-08	Dates of birth	58843488
2016-10-08	Email addresses	58843488
2016-10-08	Genders	58843488
2016-10-08	IP addresses	58843488
2016-10-08	Job titles	58843488
2016-10-08	Names	58843488
2016-10-08	Phone numbers	58843488
2016-10-08	Physical addresses	58843488
2017-09-07	Email addresses	762874
2017-09-07	Genders	762874
